Date,Values
2022-07-01,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-02,0;0.086;0.3128;2.1344;0.5476;0.0056;0.2148;1.6896;0.5988;0.556;0.0632;0.0056;0.0008;0;0;0;0;0;0.0344;0;0;0.904;0;0
2022-07-03,0;0.39;0.572;0.5272;0;0;0.3864;0.3712;0.6896;0;0.0008;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-04,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-05,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-06,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0136;0;0;0;0;0;0
2022-07-07,0;0;0;0;0;0;0;0;0;0.3592;0.0712;0.0312;0;0;0.0784;0.7208;0.0128;0.1856;25.6808;12.5472;2.1016;0;0.0056;0
2022-07-08,0;0;0;0;0.1064;0.3704;0.1624;0;0;2.7248;2.9864;0;0.0592;0;0.16;3.36;0;0;0;0;0;0;0;0.0016
2022-07-09,15.5824;3.9168;0.2432;6.2472;3.3832;5.5648;0.948;1.1616;0;0.8888;9.6676;3.8688;0.0176;0.6168;0;0;0.0484;0.4144;0.3624;0;0;0;0;0
2022-07-10,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-11,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-12,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-13,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-14,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-07-15,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192;0.2572;0;0
